Date,Sender,Message
2025-02-24T17:40:06+00:00,-1002043952453,"🇺🇳🇺🇦🇷🇺 On the third anniversary of the war in Ukraine, the United Nations General Assembly supported a resolution condemning Russia's invasion and calling for the withdrawal of its troops.

The resolution was imitated by Ukraine and was supported by 93 countries, 18 voted against and 65 abstained. Notably, the United States and Israel voted against the resolution.


🗺 @PoliticsGR"
2025-02-24T15:55:06+00:00,-1002043952453,"🇬🇷🇮🇱🇪🇺 Some Golden Dawn articles on the emergence of modern pro-Israel right wing parties in Greece and Europe, their inability to change systemic institutions and their promotion of a liberal lifestyle:

- https://xrisiavgi.com/2022/10/04/11/154213/

- https://xrisiavgi.com/2022/11/28/10/155004/

- https://xrisiavgi.com/2023/12/27/16/160623/

- https://xrisiavgi.com/2024/10/19/19/165950/

💬 Disclaimer; this was uploaded after a specific request, it doesn’t translate into support for the organisation.


🗺 @PoliticsGR"
2025-02-24T15:38:26+00:00,-1002043952453,"🇮🇱📞🇦🇹🇩🇪 — Behind the scenes: The process of making the European far-right parties “Kosher” began during former Foreign Minister Israel Katz term. Two other far-right parties that were under review by the Israeli foreign ministry are the Austrian Freedom Party and the German AfD.

➡️When the current Foreign Minister Gideon Saar took office, he was presented with the findings of the review, which included an examination of the different European far-right parties according to their support for Israel, their positions toward the Jewish community and the Jewish community's attitude toward them and their renunciation of anti-Semitism and Nazi past.

🔗Source: Axios, Barak Ravid"
2025-02-24T15:38:09+00:00,-1002043952453,"🇮🇱🇫🇷🇪🇸🇸🇪 Israeli FM Gideon Sa’ar instructed diplomats to open channels of communication with right wing political parties in France, Spain, and Sweden.

The French National Rally, Spanish Vox and Sweden Democrats had been previously shunned by Tel Aviv over concerns over antisemitism, Holocaust denial, and fascist roots.

💬 Wondering why they delayed.


📝 Times of Israel
🗺 @PoliticsGR"
2025-02-23T13:30:27+00:00,-1002043952453,"🇱🇧 Secretary-general of Hezbollah Naim Qassem ended his speech with the following remarks:
What are our constants for this new phase? Resistance is essential and remains our right as long as the occupation persists, and we will decide how to exercise it. We will give diplomacy a chance, and then we will reassess.

Palestine is a right, and we stand against Trump's plan for the Middle East. We will confront it. We will contribute to building a strong Lebanese state under the Ta'if Agreement, with key pillars: ending the occupation, reconstruction, and implementing an economic rescue plan. We are committed to ensuring that everyone takes part in building this state. Lebanon is a permanent homeland for all its people, including us.

No one can come between Amal and us. We believe in the strength of the army, there are no winners or losers in Lebanon.

💬 Note that the speech ended about an hour ago.


📝 L’Orient Today
🗺️ @PoliticsGR"
2025-02-23T13:27:06+00:00,-1002043952453,"🇸🇾🤝🇮🇱⁉️ — Hebrew channel 12 released a trailer of their tomorrow's show of the Israeli journalist Itai Anghel visiting Syria.

➡️In the video he can be seen interviewing with a Syrian officer in a destroyed SAA air base, he has also visited an Iranian intillegence center."
2025-02-23T12:32:17+00:00,-1002043952453,"🇮🇪🇱🇧 Irish flag spotted at Nasrallah's funeral in Camille Chamoun Sports City Stadium.

@TabZLIVE"
2025-02-23T12:30:45+00:00,-1002043952453,"🇱🇧 Secretary-general of Hezbollah Naim Qassem attacks political opponents:
Wake up! You say nothing about Israel or the United States — do you call that sovereignty? Are you not impressed that we emerged from underground to force Israel to request a cease-fire? That unarmed people marched to southern Lebanon to reclaim their land? Or that we facilitated the election of a president and the formation of a government?


📝 L’Orient Today
🗺️ @PoliticsGR"
2025-02-23T12:30:06+00:00,-1002043952453,"🇱🇧🇵🇸🇮🇱 Secretary-general of Hezbollah Naim Qassem on future evolutions:
At this new stage, the objectives have changed. We have prevented the Israelis from advancing, and now it is the responsibility of the state to ensure their withdrawal. We are no longer facing mere Israeli violations but a new aggression against Lebanon and a new occupation.

The Resistance remains present, and we will continue until victory. But as long as we are not all engaged in this struggle, it will not be possible. So wake up and recognise the example that the Resistance has set for you. Resistance remains a right, a belief, and a duty, and no one can take that away from us. 

The Resistance endures and remains present, regardless of what you may think. We will continue to exercise it according to the decisions of its leadership, and we will not allow the United States to control the country. You will not take through politics what Israel failed to take through war. Lebanese officials are under pressure, but they are well aware of the internal balances.

Do not mistake our patience for weakness.


📝 L’Orient Today
🗺️ @PoliticsGR"
2025-02-23T12:27:06+00:00,-1002043952453,"🇱🇧🇵🇸🇮🇱 Secretary-general of Hezbollah Naim Qassem on the evolution of the war in Gaza and southern Lebanon:
We opened the support front with Gaza, but the Israelis had already planned the war against us just four days later. Behind Israel stood the American tyrant, who wanted to confront the entire Resistance. The pressure was unprecedented, but so was the resistance, and we managed to restructure ourselves. The 75,000 Israeli soldiers could not advance on our land. You are a people that cannot be defeated.

We accepted the ceasefire because it was not possible to continue a battle with no horizon, and it was a demonstration of strength on our part.


📝 L’Orient Today
🗺️ @PoliticsGR"
